%time Wind Power_wind
0.781 10.45141 8056.60962528
0.782 10.45141 8057.10811635
0.783 10.45141 8057.60142634
0.784 10.45141 8058.08948086
0.785 10.45141 8058.57220846
0.786 10.45141 8059.04954055
0.787 10.45141 8059.52141134
0.788 10.45141 8059.98775769
0.789 10.45141 8060.44851906
0.79 10.45141 8060.9036374
0.791 10.45141 8061.35305703
0.792 10.45141 8061.79672459
0.793 10.45141 8062.2345889
0.794 10.45141 8062.66660087
0.795 10.45141 8063.09271345
0.796 10.45141 8063.51288147
0.797 10.45141 8063.92706158
0.798 10.45141 8064.33521216
0.799 10.45141 8064.73729321
0.8 10.45141 8065.13326626
0.801 10.45141 8065.52309432
0.802 10.45141 8065.90674172
0.803 10.45141 8066.28417409
0.804 10.45141 8066.65535825
0.805 10.45141 8067.02026212
0.806 10.45141 8067.37885464
0.807 10.45141 8067.73110572
0.808 10.45141 8068.07698613
0.809 10.45141 8068.41646747
0.81 10.45141 8068.74952204
0.811 10.45141 8069.07612283
0.812 10.45141 8069.39624343
0.813 10.45141 8069.70985797
0.814 10.45141 8070.01694106
0.815 10.45141 8070.31746777
0.816 10.45141 8070.61141352
0.817 10.45141 8070.89875407
0.818 10.45141 8071.17946548
0.819 10.45141 8071.45352405
0.82 10.45141 8071.72090629
0.821 10.45141 8071.98158888
0.822 10.45141 8072.23554867
0.823 10.45141 8072.48276259
0.824 10.45141 8072.72320772
0.825 10.45141 8072.95686116
0.826 10.45141 8073.18370012
0.827 10.45141 8073.40370182
0.828 10.45141 8073.61684356
0.829 10.45141 8073.82310263
0.83 10.45141 8074.02245641
0.831 10.45141 8074.21488226
0.832 10.45141 8074.40035762
0.833 10.45141 8074.57885997
0.834 10.45141 8074.75036686
0.835 10.45141 8074.9148559
0.836 10.45141 8075.07230483
0.837 10.45141 8075.22269148
0.838 10.45141 8075.36599385
0.839 10.45141 8075.50219012
0.84 10.45141 8075.63125865
0.841 10.45141 8075.75317808
0.842 10.45141 8075.8679273
0.843 10.45141 8075.97548554
0.844 10.45141 8076.07583238
0.845 10.45141 8076.16894784
0.846 10.45141 8076.25481236
0.847 10.45141 8076.33340691
0.848 10.45141 8076.40471303
0.849 10.45141 8076.46871285
0.85 10.45141 8076.52538919
0.851 10.45141 8076.57472561
0.852 10.45141 8076.61670645
0.853 10.45141 8076.65131691
0.854 10.45141 8076.67854311
0.855 10.45141 8076.69837214
0.856 10.45141 8076.71079215
0.857 10.45141 8076.71579242
0.858 10.45141 8076.71336339
0.859 10.45141 8076.70349678
0.86 10.45141 8076.6861856
0.861 10.45141 8076.66142429
0.862 10.45141 8076.62920873
0.863 10.45141 8076.58953635
0.864 10.45141 8076.54240618
0.865 10.45141 8076.48781891
0.866 10.45141 8076.42577702
0.867 10.45141 8076.35628477
0.868 10.45141 8076.27934833
0.869 10.45141 8076.1949758
0.87 10.45141 8076.10317735
0.871 10.45141 8076.00396521
